open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1753228800000,787.600,789.200,787.600,788.500,2374.05,1753228859999,1872107.81580,1747,1649.91,1301107.18730,0
1753228860000,788.490,788.970,787.930,788.000,1186.58,1753228919999,935433.86870,1400,670.54,528654.85290,0
1753228920000,787.990,788.620,787.360,787.360,1618.30,1753228979999,1275162.80370,1577,686.80,541190.62180,0
1753228980000,787.350,787.830,786.760,786.760,1206.71,1753229039999,949910.66930,1241,427.49,336504.31170,0
1753229040000,786.750,786.770,785.920,786.270,801.58,1753229099999,630365.33070,1089,356.89,280680.48030,0
1753229100000,786.280,791.390,785.940,790.380,16540.23,1753229159999,13058730.16580,8685,11335.87,8950431.96580,0
1753229160000,790.370,790.370,789.240,789.940,1352.87,1753229219999,1068384.82180,1598,718.92,567712.01650,0
1753229220000,789.940,791.670,789.930,790.630,4916.06,1753229279999,3888165.18130,3255,2194.66,1735824.56660,0
1753229280000,790.630,792.500,790.560,791.320,3681.70,1753229339999,2913758.19760,3351,2573.93,2037393.48600,0
1753229340000,791.320,793.710,790.630,792.000,5328.62,1753229399999,4222311.37870,5629,3178.01,2518517.26480,0
1753229400000,792.010,795.080,791.910,793.420,6142.47,1753229459999,4874155.26530,4854,4604.85,3654685.62460,0
1753229460000,793.430,794.280,792.080,792.750,2464.35,1753229519999,1954284.98220,2854,1032.13,818672.63020,0
1753229520000,792.750,794.120,791.960,793.500,3248.59,1753229579999,2576748.29330,2377,1908.04,1513442.79860,0
1753229580000,793.500,798.750,792.630,794.950,10807.11,1753229639999,8598385.94290,11146,7244.69,5765998.92960,0
1753229640000,794.940,796.970,794.480,796.000,3759.53,1753229699999,2991718.42960,4076,2120.09,1687342.71450,0
1753229700000,796.010,797.850,795.820,796.660,8293.24,1753229759999,6610347.60350,6915,4534.59,3614342.58490,0
1753229760000,796.660,797.060,795.610,795.880,2804.97,1753229819999,2233245.25800,2824,1265.32,1007426.91140,0
1753229820000,795.880,796.700,795.540,796.670,1880.53,1753229879999,1497353.18980,1726,1119.63,891507.35880,0
1753229880000,796.670,796.970,795.670,795.810,2117.22,1753229939999,1686017.78370,1739,928.60,739513.65740,0
1753229940000,795.810,798.850,795.610,798.590,6566.91,1753229999999,5238996.58430,5794,3637.49,2902541.66740,0
1753230000000,798.560,799.000,797.770,797.950,4000.88,1753230059999,3194809.51390,4431,1971.51,1574448.94280,0
1753230060000,797.950,798.500,797.110,797.180,1767.75,1753230119999,1410316.51210,1903,1095.17,873768.32690,0
1753230120000,797.180,797.560,795.750,796.110,2724.28,1753230179999,2170274.66670,3024,917.70,730993.12140,0
1753230180000,796.140,798.350,795.870,797.770,1225.63,1753230239999,976841.54950,1745,884.62,705017.95380,0
1753230240000,797.770,798.000,795.890,797.860,1616.01,1753230299999,1288010.24830,2041,873.58,696260.05560,0
1753230300000,797.860,801.360,797.860,800.690,13154.26,1753230359999,10525918.58360,8175,8603.11,6882959.07010,0
1753230360000,800.690,801.230,799.350,800.640,3927.03,1753230419999,3142782.95310,3476,2088.87,1671854.94570,0
1753230420000,800.640,800.680,797.760,799.170,3151.75,1753230479999,2518664.66390,3446,1462.29,1168316.32960,0
1753230480000,799.080,799.360,796.060,796.200,2741.70,1753230539999,2186923.68910,2835,960.53,766186.56430,0
1753230540000,796.200,796.660,795.740,796.600,1644.73,1753230599999,1309438.58580,1972,795.11,633052.55430,0
1753230600000,796.600,800.000,796.550,799.590,2647.86,1753230659999,2113584.08040,3006,1559.27,1244408.43840,0
1753230660000,799.600,800.870,799.480,799.890,2969.31,1753230719999,2376072.32040,2559,1760.68,1408949.04140,0
1753230720000,799.890,800.420,799.480,799.910,1495.83,1753230779999,1196769.63470,1523,558.07,446466.99480,0
1753230780000,799.910,802.300,799.670,800.510,7801.48,1753230839999,6251770.24260,5174,5199.67,4167450.79570,0
1753230840000,800.510,801.180,798.960,799.110,2299.30,1753230899999,1839263.45600,2018,785.16,628164.27820,0
1753230900000,799.050,801.250,798.470,801.010,4637.51,1753230959999,3706414.55360,2446,1488.95,1190674.71800,0
1753230960000,801.010,805.120,800.840,803.650,13458.22,1753231019999,10810800.39990,11279,8707.76,6994683.39850,0
1753231020000,803.640,804.920,803.180,804.620,3670.22,1753231079999,2951250.59950,3223,1846.31,1484717.26260,0
1753231080000,804.630,804.940,803.260,804.610,3969.56,1753231139999,3191908.91500,3127,2549.28,2049828.47330,0
1753231140000,804.610,805.540,803.490,804.890,3040.00,1753231199999,2444995.64010,2577,1474.73,1186229.67130,0
1753231200000,804.890,805.240,803.110,803.810,3657.10,1753231259999,2939872.55790,3943,2019.21,1623118.71270,0
1753231260000,803.810,804.970,803.690,804.320,2987.60,1753231319999,2403413.43320,2187,2265.16,1822205.70100,0
1753231320000,804.330,804.330,801.680,803.500,3525.15,1753231379999,2829583.81930,3934,1050.03,842718.75100,0
1753231380000,803.510,804.220,803.240,803.990,931.62,1753231439999,748698.15160,1543,438.40,352306.51090,0
1753231440000,804.000,805.680,803.280,804.610,4006.68,1753231499999,3223934.51620,2490,2398.85,1929996.39800,0
1753231500000,804.600,805.160,803.140,803.400,1921.64,1753231559999,1545176.73530,2035,994.38,799695.48690,0
1753231560000,803.410,805.000,802.620,804.310,2770.02,1753231619999,2225871.69960,2480,1500.58,1205879.95640,0
1753231620000,804.300,806.190,803.780,805.540,2519.13,1753231679999,2028462.25350,2440,1667.41,1342633.80750,0
1753231680000,805.550,805.910,804.010,804.010,1513.84,1753231739999,1218464.02140,1661,744.57,599335.08970,0
1753231740000,804.000,804.570,803.310,803.350,1827.91,1753231799999,1469509.83140,1860,722.83,581110.16740,0
1753231800000,803.350,803.920,803.000,803.010,1143.27,1753231859999,918319.73060,1564,604.87,485877.95840,0
1753231860000,803.020,803.020,801.000,801.500,4429.22,1753231919999,3551110.43930,2988,1048.31,840640.20400,0
1753231920000,801.490,802.000,800.670,801.890,2786.28,1753231979999,2232378.37610,2111,1522.82,1220237.02080,0
1753231980000,801.880,802.620,800.930,802.610,2470.39,1753232039999,1980867.26570,2318,1445.41,1158971.30070,0
1753232040000,802.610,803.230,802.430,802.830,1065.69,1753232099999,855593.51100,1043,570.85,458293.80760,0
1753232100000,802.830,803.050,801.950,802.060,3244.34,1753232159999,2602605.14740,1746,1131.99,908175.46520,0
1753232160000,802.050,802.490,800.820,801.000,5931.03,1753232219999,4756528.82510,1662,556.01,445736.19020,0
1753232220000,800.990,801.620,800.890,801.260,1367.42,1753232279999,1095714.81040,1284,644.35,516318.02920,0
1753232280000,801.270,801.360,800.870,801.220,2249.86,1753232339999,1802305.04410,1159,778.01,623260.88200,0
1753232340000,801.230,801.320,799.840,800.730,3315.75,1753232399999,2653800.64890,2995,1240.15,992498.55770,0
1753232400000,800.770,800.840,800.220,800.290,1394.77,1753232459999,1116630.57030,1225,504.16,403613.73730,0
1753232460000,800.290,801.000,798.340,799.200,4408.01,1753232519999,3524198.33900,2721,1059.34,847294.48890,0
1753232520000,799.200,799.280,797.330,797.720,5889.94,1753232579999,4700833.27980,3001,1949.88,1556541.41600,0
1753232580000,797.720,798.580,796.880,798.520,3685.52,1753232639999,2940110.42510,2438,1580.66,1260913.82120,0
1753232640000,798.510,798.530,796.890,798.280,5684.92,1753232699999,4535769.26660,3055,2584.77,2062819.17430,0
1753232700000,798.280,798.760,797.510,798.690,1704.64,1753232759999,1360607.11780,1391,846.49,675700.15940,0
1753232760000,798.700,802.160,798.470,801.510,7238.90,1753232819999,5792348.48850,4253,4517.22,3613983.68460,0
1753232820000,801.520,804.080,800.840,800.840,4454.87,1753232879999,3575845.79200,3749,2514.68,2018860.14320,0
1753232880000,800.840,800.960,799.190,799.260,1504.85,1753232939999,1203965.11730,1664,518.89,415077.59630,0
1753232940000,799.260,799.910,798.850,799.210,863.48,1753232999999,690123.28410,1150,526.04,420388.08560,0
1753233000000,799.210,799.800,798.990,798.990,676.29,1753233059999,540608.49600,962,277.74,222014.68700,0
1753233060000,798.970,801.400,798.850,800.030,1612.16,1753233119999,1289946.06200,1870,1076.15,860990.83880,0
1753233120000,800.030,800.100,798.440,798.960,933.30,1753233179999,745850.28070,1410,355.84,284368.04570,0
1753233180000,798.960,799.870,798.770,798.860,662.92,1753233239999,529801.45380,1037,362.42,289618.70400,0
1753233240000,798.850,798.860,798.300,798.780,859.17,1753233299999,686045.35640,1060,261.18,208563.45320,0
1753233300000,798.790,801.100,798.520,800.590,1434.37,1753233359999,1147306.12930,1596,1033.58,826643.51120,0
1753233360000,800.570,800.960,800.190,800.480,715.52,1753233419999,572821.91070,1045,438.96,351403.82050,0
1753233420000,800.480,800.950,799.160,799.160,998.41,1753233479999,798951.53610,1176,571.72,457568.10730,0
1753233480000,799.160,800.320,799.060,800.120,1836.55,1753233539999,1468925.96320,1208,1180.25,943955.28070,0
1753233540000,800.120,801.180,799.930,800.460,3024.73,1753233599999,2421877.99000,2002,2005.77,1605946.97570,0
1753233600000,800.480,801.420,800.360,800.870,1673.61,1753233659999,1340399.95040,1426,1014.10,812137.80930,0
1753233660000,800.870,801.400,800.400,801.340,1133.31,1753233719999,907674.87920,1193,468.71,375411.14150,0
1753233720000,801.340,802.470,801.000,801.090,1197.90,1753233779999,960418.06370,1640,752.26,603154.50720,0
1753233780000,801.080,801.080,799.590,799.630,797.39,1753233839999,638131.66900,1202,266.56,213282.83120,0
1753233840000,799.620,800.200,799.420,799.750,800.80,1753233899999,640458.88190,862,385.68,308438.26890,0
1753233900000,799.760,800.650,799.760,800.160,537.45,1753233959999,430064.27480,901,327.36,261935.80500,0
1753233960000,800.170,800.480,799.790,799.880,427.05,1753234019999,341685.40590,783,233.81,187069.27160,0
1753234020000,799.890,800.560,799.120,799.120,586.52,1753234079999,469115.03090,1031,265.79,212616.73680,0
1753234080000,799.120,799.360,798.810,798.880,667.23,1753234139999,533169.84120,912,305.12,243811.61550,0
1753234140000,798.890,799.450,798.810,798.820,298.98,1753234199999,238905.74540,572,150.70,120421.04630,0
1753234200000,798.810,799.230,798.600,799.230,407.96,1753234259999,325872.31580,850,224.18,179071.43420,0
1753234260000,799.240,800.330,799.070,800.280,1111.08,1753234319999,888536.57030,1311,828.32,662399.77680,0
1753234320000,800.280,800.550,799.850,800.070,923.26,1753234379999,738849.21910,1017,354.80,283914.66290,0
1753234380000,800.080,800.080,798.890,798.900,955.15,1753234439999,763372.00710,930,289.33,231206.54400,0
1753234440000,798.890,799.990,798.890,799.550,392.13,1753234499999,313494.51680,723,259.64,207557.64760,0
1753234500000,799.540,799.550,798.990,799.250,531.21,1753234559999,424574.26120,795,206.03,164666.98500,0
1753234560000,799.210,799.210,798.400,798.410,500.62,1753234619999,399838.05320,938,207.11,165411.50470,0
1753234620000,798.400,798.470,797.500,797.520,1123.13,1753234679999,896225.78970,1451,291.75,232809.09380,0
1753234680000,797.530,797.600,796.420,796.900,2362.89,1753234739999,1883003.28630,2018,778.99,620737.23450,0
1753234740000,796.900,797.420,796.040,797.360,1449.40,1753234799999,1154662.30200,1536,911.89,726599.79470,0
1753234800000,797.390,797.450,796.200,796.320,712.14,1753234859999,567560.99320,927,271.92,216743.75110,0
1753234860000,796.330,797.070,796.160,797.030,901.41,1753234919999,718056.62560,1079,396.07,315518.31240,0
1753234920000,797.030,797.110,796.570,796.920,524.45,1753234979999,417889.94440,784,185.11,147489.69090,0
1753234980000,796.920,797.660,796.910,797.550,600.17,1753235039999,478497.52260,810,471.81,376152.64910,0
1753235040000,797.550,797.760,797.400,797.430,431.95,1753235099999,344477.47300,505,301.56,240488.93490,0
1753235100000,797.410,797.910,797.270,797.860,552.17,1753235159999,440395.95030,868,282.16,225050.88570,0
1753235160000,797.860,798.000,797.150,797.230,1008.49,1753235219999,804558.40800,914,607.15,484435.22450,0
1753235220000,797.240,797.760,797.120,797.640,678.63,1753235279999,541226.81830,769,267.57,213380.21070,0
1753235280000,797.650,797.960,797.490,797.670,303.87,1753235339999,242393.09790,578,156.04,124471.30880,0
1753235340000,797.680,798.250,797.090,797.130,485.89,1753235399999,387588.77880,728,177.69,141755.98170,0
1753235400000,797.120,797.370,796.690,797.280,1037.19,1753235459999,826717.82410,788,711.78,567355.34450,0
1753235460000,797.280,797.280,796.440,796.690,413.31,1753235519999,329277.57490,756,181.61,144666.40090,0
1753235520000,796.690,797.590,796.690,797.580,596.83,1753235579999,475826.59760,774,458.92,365865.15100,0
1753235580000,797.590,797.590,796.580,796.580,487.42,1753235639999,388467.38310,703,115.85,92316.60550,0
1753235640000,796.570,796.720,796.150,796.330,954.00,1753235699999,759795.73260,802,159.67,127194.07870,0
1753235700000,796.320,796.610,796.320,796.550,376.47,1753235759999,299848.81080,688,158.42,126173.86030,0
1753235760000,796.550,796.560,795.560,796.180,1958.54,1753235819999,1558766.41630,1483,228.15,181624.85340,0
1753235820000,796.180,796.370,795.880,796.230,651.51,1753235879999,518638.20570,805,209.53,166807.11010,0
1753235880000,796.220,796.750,796.160,796.170,494.57,1753235939999,393893.08010,817,287.72,229144.10750,0
1753235940000,796.170,796.280,796.000,796.030,619.81,1753235999999,493449.85580,683,357.20,284382.78080,0
1753236000000,796.030,796.560,796.000,796.010,550.75,1753236059999,438536.67010,860,273.80,218018.81690,0
1753236060000,796.000,796.010,795.630,795.700,555.61,1753236119999,442164.93600,905,281.85,224297.22700,0
1753236120000,795.710,796.370,793.100,793.920,8691.97,1753236179999,6905956.47580,5187,2067.92,1643671.35170,0
1753236180000,793.920,794.010,792.900,793.830,2138.82,1753236239999,1697132.25960,1782,742.02,588762.89850,0
1753236240000,793.830,793.840,785.430,789.210,26165.00,1753236299999,20657764.47670,15118,5144.62,4064854.72240,0
1753236300000,789.210,791.930,788.680,791.060,5625.74,1753236359999,4446527.34090,3269,2789.47,2204827.43130,0
1753236360000,791.060,792.230,790.860,791.910,3902.68,1753236419999,3089753.36430,2266,2320.64,1837231.58220,0
1753236420000,791.910,792.610,791.520,792.140,2931.70,1753236479999,2322366.85660,1679,1561.43,1236950.74880,0
1753236480000,792.150,792.150,791.000,791.280,2183.15,1753236539999,1727850.73950,1357,714.43,565389.57450,0
1753236540000,791.280,791.520,790.650,791.500,951.57,1753236599999,752750.67770,958,697.62,551846.10640,0
1753236600000,791.510,791.560,791.000,791.510,931.74,1753236659999,737322.91260,968,506.48,400794.89690,0
1753236660000,791.520,791.730,791.280,791.670,634.27,1753236719999,502007.68290,753,337.50,267105.17760,0
1753236720000,791.670,792.790,791.450,792.530,1098.22,1753236779999,870256.10670,1200,780.77,618672.80120,0
1753236780000,792.520,792.760,791.930,792.210,1316.65,1753236839999,1043304.10930,1199,959.19,760074.43220,0
1753236840000,792.210,792.460,791.690,791.770,607.73,1753236899999,481354.42580,840,325.97,258186.12980,0
1753236900000,791.780,791.830,790.550,791.060,1161.08,1753236959999,918670.95140,1321,620.39,490868.86190,0
